artist,explicit,popularity,duration_sec,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Maroon 5,0.2,81.6,214.43,0.6847,0.6990999999999999,5.4,-5.779999999999999,0.4,0.05486,0.1486685,2.7999999999999996e-05,0.19088,0.659,119.81890000000001,4.0
Martin Garrix,0.1,75.5,200.23,0.5829,0.6477999999999999,4.0,-6.617399999999999,0.2,0.052849999999999994,0.222363,0.032411706,0.18081,0.2698,124.06289999999998,4.0
Meek Mill,1.0,73.2,199.5,0.6754,0.654,5.2,-5.3376,0.8,0.20464000000000002,0.190347,0.0,0.24939999999999998,0.3238,118.7748,3.9
Michael Jackson,0.0,77.9,270.33000000000004,0.8480000000000001,0.8242,5.9,-5.4238,0.5,0.06995,0.127172,0.09640960800000001,0.18444,0.7573000000000001,116.07929999999999,4.0
Miley Cyrus,0.1,76.9,210.28000000000003,0.6235,0.6448,4.9,-5.3586,0.5,0.04006,0.09285199999999999,0.00019127600000000002,0.16906,0.3872,114.0436,3.9
Nicki Minaj,0.8,78.3,212.35999999999999,0.7734,0.6748000000000001,4.1,-4.8765,0.6,0.20897000000000002,0.19441,0.000305318,0.25754,0.5833999999999999,116.4829,4.0
One Direction,0.0,82.2,220.94,0.6332,0.6779,3.5,-5.66,0.7,0.04589,0.185483,0.0,0.09866,0.4513,120.27629999999999,4.0
Paul McCartney,0.0,64.9,231.96999999999997,0.6336999999999999,0.5636,7.6,-8.957699999999999,0.7,0.038329999999999996,0.346084,0.08919373,0.14865,0.6799999999999999,122.33009999999999,3.9
Post Malone,0.8,84.9,201.45,0.6964,0.6235,5.4,-5.3473,0.6,0.07273,0.22724000000000003,0.000251559,0.12591000000000002,0.4554,124.8886,4.0
Powfu,0.4,68.4,168.31,0.6986,0.4909,5.9,-8.3324,0.5,0.16709000000000002,0.612,7.4941e-05,0.27382999999999996,0.3976,98.1721,4.0
Pusha-T,0.8,65.7,224.11999999999998,0.6145,0.7651,6.0,-4.9591,0.4,0.29,0.082891,0.0016358899999999999,0.24897999999999998,0.5788,130.0316,4.0
Queen,0.0,70.9,239.42,0.6155,0.5852,3.8,-7.433,0.7,0.07441,0.30945,0.032965143,0.24881999999999999,0.5024,107.92609999999999,3.9
Rihanna,0.3,78.9,231.06,0.6894,0.6158,4.9,-5.744,0.6,0.09296,0.1296095,0.00023549999999999998,0.09451000000000001,0.5357999999999999,135.7318,3.9
SZA,0.9,82.0,227.8,0.6481,0.5732,5.0,-6.668200000000001,0.5,0.08846000000000001,0.26745,2.9129999999999997e-05,0.19701,0.5033000000000001,111.2701,4.0
Sam Smith,0.0,77.9,198.99,0.6192,0.533,4.9,-6.82,0.6,0.05111,0.39798999999999995,1.1598e-05,0.14899,0.3917,111.9029,4.0
Selena Gomez,0.1,77.7,211.57,0.6745,0.6244,4.4,-5.8408,0.7,0.08939,0.14005,0.000582331,0.11900999999999999,0.44888000000000006,115.9383,4.0
Shawn Mendes,0.0,82.4,196.77,0.6683,0.6609,7.1,-6.1213999999999995,0.5,0.08907000000000001,0.15546,2.7918000000000003e-05,0.09294,0.5948599999999999,123.0649,4.0
Skrillex,0.5,72.5,194.45999999999998,0.6979,0.7783,7.8,-4.2136000000000005,0.6,0.16062,0.028894000000000003,0.000367273,0.26126,0.41742999999999997,128.6852,3.9
Sting,0.0,67.7,243.68,0.5941,0.47450000000000003,4.3,-10.558,0.5,0.04337,0.352829,0.025556250000000003,0.11178999999999999,0.3734,102.3688,3.9
Taylor Swift,0.1,82.9,279.85,0.5796,0.567,5.0,-6.915000000000001,1.0,0.06098,0.27919,6.329400000000001e-05,0.13622,0.43200000000000005,115.2921,4.0
The Beatles,0.0,77.8,200.18,0.5037,0.4579,5.7,-10.3632,0.8,0.03402,0.38153000000000004,0.025051826,0.10083,0.47220000000000006,123.147,4.0
The Chainsmokers,0.2,80.5,217.60999999999999,0.6062000000000001,0.6899,4.7,-6.3368,0.8,0.05081,0.11309,0.0008866060000000001,0.17001,0.4413,114.189,4.0
The Notorious B.I.G.,1.0,74.7,272.4,0.7625,0.7378,5.9,-5.375400000000001,0.5,0.23468999999999998,0.23826999999999998,2.58e-06,0.2779,0.64566,110.85050000000001,4.0
The Weeknd,0.6,90.7,204.17000000000002,0.6649,0.6774,3.1,-6.8282,0.7,0.0519,0.12354499999999999,0.00034548,0.14340999999999998,0.4833,122.5248,4.0
Travis Scott,0.9,83.9,204.63,0.7612,0.5686,5.2,-6.2761,0.6,0.11081,0.10843,5.83e-07,0.16599999999999998,0.33205,135.93009999999998,4.0
Whitney Houston,0.0,74.7,263.32,0.6212,0.4835,4.8,-10.4998,0.8,0.0482,0.37092,5.1114999999999994e-05,0.18724000000000002,0.4316,112.0142,3.8
X Ambassadors,0.1,69.3,197.52,0.5309,0.7185,4.5,-5.506,0.6,0.09945999999999999,0.0703471,0.00911386,0.19087,0.34916,102.4146,4.0
XXXTENTACION,1.0,85.8,137.66,0.7533000000000001,0.49559999999999993,5.0,-8.2842,0.3,0.13708,0.46457,0.001423153,0.13696,0.3937,126.2858,4.0
